Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,City of Palo Alto,67317,73,1,9,28,35,1436,215,1159,62
NA,City of Cupertino,60948,71,0,7,16,48,997,268,661,68
NA,Total area actually reporting,1,5578,58,658,1645,3217,43340,7661,25613,10066
NA,"Rate per 100,000 inhabitants",NA,280.1,2.9,33,82.6,161.6,2176.5,384.7,1286.3,505.5
"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",NA,281827,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Luis Obispo County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Luis Obispo,47774,178,0,39,21,118,2076,251,1730,95
NA,City of Paso Robles,31939,67,0,8,20,39,977,144,738,95
NA,City of Arroyo Grande,18280,35,0,6,9,20,334,53,262,19
NA,Total area actually reporting,1,1115,4,102,88,921,6687,1199,4987,501
NA,"Rate per 100,000 inhabitants",NA,395.6,1.4,36.2,31.2,326.8,2372.7,425.4,1769.5,177.8
"Santa Cruz-Watsonville, CA M.S.A.",NA,274494,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Santa Cruz County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Santa Cruz,64969,521,4,45,106,366,3610,354,2874,382
NA,City of Watsonville,54110,238,0,26,46,166,1738,214,1018,506
NA,Total area actually reporting,1,1101,5,120,209,767,9485,1221,6810,1454
NA,"Rate per 100,000 inhabitants",NA,401.1,1.8,43.7,76.1,279.4,3455.4,444.8,2480.9,529.7
"Santa Fe, NM M.S.A.",NA,148925,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Santa Fe County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Santa Fe,84663,324,1,30,84,209,3234,1123,1870,241
NA,Total area actually reporting,1,555,2,42,107,404,4267,1629,2354,284
NA,"Rate per 100,000 inhabitants",NA,372.7,1.3,28.2,71.8,271.3,2865.2,1093.8,1580.7,190.7
"Santa Maria-Santa Barbara, CA M.S.A.",NA,445908,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Santa Barbara County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Santa Maria,106200,506,9,45,168,284,2638,521,1452,665
NA,City of Santa Barbara,92519,397,0,87,82,228,3060,433,2428,199
NA,Total area actually reporting,1,1527,13,244,325,945,9779,1868,6691,1220
NA,"Rate per 100,000 inhabitants",NA,342.4,2.9,54.7,72.9,211.9,2193.1,418.9,1500.5,273.6
"Santa Rosa, CA M.S.A.",NA,502249,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Sonoma County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Santa Rosa,176383,658,5,94,121,438,3010,516,2087,407
NA,Total area actually reporting,1,1868,10,282,236,1340,7794,1529,5380,885
NA,"Rate per 100,000 inhabitants",NA,371.9,2,56.1,47,266.8,1551.8,304.4,1071.2,176.2
"Savannah, GA M.S.A.",NA,385219,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bryan, Chatham, and Effingham Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Savannah-Chatham Metropolitan,241296,1174,50,50,534,540,8762,1856,5946,960
NA,Total area actually reporting,1,1608,53,79,600,876,11968,2564,8275,1129
NA,"Rate per 100,000 inhabitants",NA,417.4,13.8,20.5,155.8,227.4,3106.8,665.6,2148.1,293.1
"Seattle-Tacoma-Bellevue, WA M.S.A.",NA,3808184,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma-Lakewood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Seattle,700313,4294,19,254,1547,2474,38433,7666,26639,4128
NA,City of Tacoma,209914,2e3,13,159,540,1288,13749,2420,8710,2619
NA,City of Bellevue,142238,139,0,14,61,64,4635,877,3458,300
NA,City of Everett,108988,490,1,64,148,277,5608,949,3701,958
NA,City of Kent,128604,372,6,66,165,135,7527,1060,5034,1433
NA,City of Renton,101908,341,4,36,146,155,5767,834,3872,1061
NA,City of Auburn,78400,329,6,49,98,176,3618,732,2188,698
NA,City of Lakewood,60153,449,0,47,101,301,2939,589,1979,371
NA,City of Redmond,61893,83,0,15,23,45,1936,181,1676,79
NA,Total area actually reporting,1,13449,101,1505,4160,7683,148138,27677,99143,21318
NA,"Rate per 100,000 inhabitants",NA,353.2,2.7,39.5,109.2,201.7,3890,726.8,2603.4,559.8
"Seattle-Bellevue-Everett, WA M.D.",NA,2950845,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes King and Snohomish Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,9246,71,1088,3116,4971,113792,20588,77667,15537
NA,"Rate per 100,000 inhabitants",NA,313.3,2.4,36.9,105.6,168.5,3856.3,697.7,2632,526.5
"Tacoma-Lakewood, WA M.D.",NA,857339,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Pierce County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,4203,30,417,1044,2712,34346,7089,21476,5781
NA,"Rate per 100,000 inhabitants",NA,490.2,3.5,48.6,121.8,316.3,4006.1,826.9,2505,674.3
"Sebastian-Vero Beach, FL M.S.A.",NA,150236,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Indian River County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sebastian,24441,42,0,4,7,31,467,69,376,22
NA,City of Vero Beach,16589,69,3,6,12,48,426,88,323,15
NA,Total area actually reporting,1,345,4,21,43,277,2776,574,2044,158
NA,"Rate per 100,000 inhabitants",NA,229.6,2.7,14,28.6,184.4,1847.8,382.1,1360.5,105.2
"Sebring, FL M.S.A.",NA,99857,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Highlands County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sebring,10516,45,3,4,7,31,499,110,369,20
NA,Total area actually reporting,1,327,7,27,49,244,2667,674,1873,120
NA,"Rate per 100,000 inhabitants",NA,327.5,7,27,49.1,244.3,2670.8,675,1875.7,120.2
"Sheboygan, WI M.S.A.",NA,115401,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Sheboygan County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sheboygan,48710,131,1,20,10,100,1063,119,908,36
NA,Total area actually reporting,1,179,2,29,13,135,1650,166,1420,64
NA,"Rate per 100,000 inhabitants",NA,155.1,1.7,25.1,11.3,117,1429.8,143.8,1230.5,55.5
"Sherman-Denison, TX M.S.A.",NA,125998,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Grayson County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sherman,41139,127,4,20,23,80,1251,297,866,88
NA,City of Denison,23237,110,0,12,12,86,557,135,372,50
NA,Total area actually reporting,0.971,334,5,49,38,242,2416,573,1632,211
NA,Estimated total,1,344,5,51,40,248,2507,588,1701,218
NA,"Rate per 100,000 inhabitants",NA,273,4,40.5,31.7,196.8,1989.7,466.7,1350,173
"Shreveport-Bossier City, LA M.S.A.",NA,442787,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bossier, Caddo, De Soto, and Webster Parishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Shreveport,196467,1865,42,157,492,1174,10721,2318,7646,757
NA,City of  Bossier City,69384,585,5,33,96,451,3206,494,2491,221
NA,Total area actually reporting,0.997,2877,52,207,622,1996,16786,3629,12010,1147
NA,Estimated total,1,2882,52,207,623,2e3,16828,3636,12043,1149
NA,"Rate per 100,000 inhabitants",NA,650.9,11.7,46.7,140.7,451.7,3800.5,821.2,2719.8,259.5
"Sierra Vista-Douglas, AZ M.S.A.",NA,125652,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cochise County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sierra Vista,42988,85,3,15,18,49,1278,249,974,55
NA,City of Douglas,16398,30,0,1,4,25,462,70,377,15
NA,Total area actually reporting,0.896,392,5,27,28,332,2547,420,1986,141
NA,Estimated total,1,428,5,31,36,356,2906,478,2262,166
NA,"Rate per 100,000 inhabitants",NA,340.6,4,24.7,28.7,283.3,2312.7,380.4,1800.2,132.1
"Sioux City, IA-NE-SD M.S.A.",NA,168846,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Plymouth and Woodbury Counties, IA; Dakota and Dixon Counties, NE; and Union County, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Sioux City, IA",82819,365,1,40,59,265,3247,592,2363,292
NA,Total area actually reporting,0.985,504,3,57,63,381,4455,799,3235,421
NA,Estimated total,1,507,3,57,63,384,4488,803,3262,423
NA,"Rate per 100,000 inhabitants",NA,300.3,1.8,33.8,37.3,227.4,2658,475.6,1931.9,250.5
"Sioux Falls, SD M.S.A.",NA,256120,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sioux Falls,175152,897,6,142,121,628,5563,869,4076,618
NA,Total area actually reporting,0.997,993,10,153,124,706,6429,1154,4595,680
NA,Estimated total,1,994,10,153,124,707,6439,1155,4603,681
NA,"Rate per 100,000 inhabitants",NA,388.1,3.9,59.7,48.4,276,2514.1,451,1797.2,265.9
"South Bend-Mishawaka, IN-MI M.S.A.2",NA,319742,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes St. Joseph County, IN and Cass County, MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of South Bend, IN2",101621,1037,14,70,388,565,5166,1241,3359,566
NA,"City of Mishawaka, IN",48267,165,1,35,69,60,2523,283,2034,206
NA,Total area actually reporting,0.98,1463,16,172,489,786,9644,2214,6523,907
NA,Estimated total,1,1481,16,175,492,798,9767,2233,6618,916
NA,"Rate per 100,000 inhabitants",NA,463.2,5,54.7,153.9,249.6,3054.7,698.4,2069.8,286.5
"Spokane-Spokane Valley, WA M.S.A.2",NA,553915,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Pend Oreille, Spokane,2 and Stevens Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Spokane2,214028,1279,8,185,306,780,16455,2648,11815,1992
NA,City of Spokane Valley2,95923,271,5,55,67,144,5292,912,3909,471
NA,Total area actually reporting,0.999,1859,16,324,411,1108,27718,5011,19710,2997
NA,Estimated total,1,1859,16,324,411,1108,27727,5012,19717,2998
NA,"Rate per 100,000 inhabitants",NA,335.6,2.9,58.5,74.2,200,5005.6,904.8,3559.6,541.2
"Springfield, IL M.S.A.",NA,210256,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Menard and Sangamon Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Springfield,116563,1301,6,99,249,947,5158,1250,3681,227
NA,Total area actually reporting,0.98,1547,8,146,276,1117,6339,1575,4446,318
NA,Estimated total,1,1556,8,147,279,1122,6411,1586,4503,322
NA,"Rate per 100,000 inhabitants",NA,740.1,3.8,69.9,132.7,533.6,3049.1,754.3,2141.7,153.1
"Springfield, MA M.S.A.",NA,630942,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Hampden and Hampshire Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Springfield,154102,1588,12,81,522,973,5073,1486,3e3,587
NA,Total area actually reporting,0.978,3351,18,319,775,2239,14257,3313,9846,1098
NA,Estimated total,1,3393,18,323,782,2270,14451,3348,9991,1112
NA,"Rate per 100,000 inhabitants",NA,537.8,2.9,51.2,123.9,359.8,2290.4,530.6,1583.5,176.2
"Springfield, MO M.S.A.",NA,459709,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Springfield,168307,2251,8,293,428,1522,14251,2120,10483,1648
NA,Total area actually reporting,1,2775,12,376,461,1926,19475,3290,14131,2054
NA,"Rate per 100,000 inhabitants",NA,603.6,2.6,81.8,100.3,419,4236.4,715.7,3073.9,446.8
"Springfield, OH M.S.A.",NA,135331,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Clark County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Springfield,59503,411,5,34,184,188,4040,963,2817,260
NA,Total area actually reporting,0.944,460,5,44,193,218,5259,1272,3660,327
NA,Estimated total,1,471,5,46,197,223,5428,1300,3794,334
NA,"Rate per 100,000 inhabitants",NA,348,3.7,34,145.6,164.8,4010.9,960.6,2803.5,246.8
"State College, PA M.S.A.",NA,161409,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Centre County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of State College,58119,39,0,8,10,21,491,35,447,9
NA,Total area actually reporting,1,152,2,65,19,66,1719,238,1452,29
NA,"Rate per 100,000 inhabitants",NA,94.2,1.2,40.3,11.8,40.9,1065,147.5,899.6,18
"Staunton-Waynesboro, VA M.S.A.",NA,119934,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Augusta County and Staunton and Waynesboro Cities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Staunton,24399,41,2,7,7,25,528,34,474,20
NA,City of Waynesboro,21464,40,1,12,6,21,486,40,424,22
NA,Total area actually reporting,1,159,7,33,16,103,1746,281,1377,88
NA,"Rate per 100,000 inhabitants",NA,132.6,5.8,27.5,13.3,85.9,1455.8,234.3,1148.1,73.4
"St. Cloud, MN M.S.A.",NA,195241,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Benton and Stearns Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of St. Cloud,67341,293,1,68,72,152,2780,329,2327,124
NA,Total area actually reporting,1,388,1,97,68,222,4638,532,3904,202
NA,"Rate per 100,000 inhabitants",NA,198.7,0.5,49.7,34.8,113.7,2375.5,272.5,1999.6,103.5
"St. George, UT M.S.A.",NA,159745,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Washington County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of St. George,81755,160,0,54,14,92,1465,350,995,120
NA,Total area actually reporting,0.981,265,0,78,18,169,2676,571,1916,189
NA,Estimated total,1,270,0,79,19,172,2757,583,1977,197
NA,"Rate per 100,000 inhabitants",NA,169,0,49.5,11.9,107.7,1725.9,365,1237.6,123.3
"St. Joseph, MO-KS M.S.A.",NA,126595,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Doniphan County, KS and Andrew, Buchanan, and DeKalb Counties, MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of St. Joseph, MO",76577,428,7,49,104,268,4546,749,3221,576
NA,Total area actually reporting,1,532,10,60,110,352,5141,920,3580,641
NA,"Rate per 100,000 inhabitants",NA,420.2,7.9,47.4,86.9,278.1,4061,726.7,2827.9,506.3
"St. Louis, MO-IL M.S.A.2, 4",NA,2811156,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, and Warren Counties and St. Louis City, MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of St. Louis, MO",314507,6017,188,289,1904,3636,18653,3201,12394,3058
NA,"City of St. Charles, MO",69364,138,0,22,35,81,1756,155,1472,129
NA,Total area actually reporting,0.985,NA,312,1058,3419,NA,69303,12322,50093,6888
NA,Estimated total,1,NA,313,1070,3443,NA,70004,12438,50642,6924
NA,"Rate per 100,000 inhabitants",NA,NA,11.1,38.1,122.5,NA,2490.2,442.5,1801.5,246.3
"Stockton-Lodi, CA M.S.A.",NA,729104,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Joaquin County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Stockton,308348,4381,49,128,1185,3019,11634,2251,7550,1833
NA,City of Lodi,65067,351,5,9,84,253,1935,438,1189,308
NA,Total area actually reporting,1,6005,62,220,1624,4099,22629,4239,14848,3542
NA,"Rate per 100,000 inhabitants",NA,823.6,8.5,30.2,222.7,562.2,3103.7,581.4,2036.5,485.8
"Sumter, SC M.S.A.",NA,107671,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Sumter County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sumter,40864,282,3,9,50,220,1666,390,1216,60
NA,Total area actually reporting,1,636,4,31,72,529,3539,1014,2309,216
NA,"Rate per 100,000 inhabitants",NA,590.7,3.7,28.8,66.9,491.3,3286.9,941.8,2144.5,200.6
"Syracuse, NY M.S.A.",NA,655589,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Madison, Onondaga, and Oswego Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Syracuse,143925,1063,30,68,329,636,4651,1021,3290,340
NA,Total area actually reporting,1,1812,35,336,430,1011,12838,2281,9941,616
NA,"Rate per 100,000 inhabitants",NA,276.4,5.3,51.3,65.6,154.2,1958.2,347.9,1516.3,94
"Tallahassee, FL M.S.A.",NA,380448,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tallahassee,191564,1686,11,207,405,1063,11073,2120,7854,1099
NA,Total area actually reporting,0.98,2373,17,282,476,1598,15347,3279,10734,1334
NA,Estimated total,1,2403,17,284,485,1617,15581,3314,10915,1352
NA,"Rate per 100,000 inhabitants",NA,631.6,4.5,74.6,127.5,425,4095.4,871.1,2869,355.4
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",NA,3020266,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tampa,375904,1906,29,80,488,1309,7800,1477,5695,628
NA,City of St. Petersburg,259510,1727,20,122,556,1029,12804,1938,9771,1095
NA,City of Clearwater,113904,636,5,89,145,397,3755,555,2968,232
NA,City of Largo,81402,390,3,60,116,211,2989,458,2289,242
NA,Total area actually reporting,1,10294,118,987,2283,6906,70491,11898,53215,5378
NA,"Rate per 100,000 inhabitants",NA,340.8,3.9,32.7,75.6,228.7,2333.9,393.9,1761.9,178.1
"Texarkana, TX-AR M.S.A.",NA,149537,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Little River and Miller Counties, AR and Bowie County, TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Texarkana, TX",37442,314,4,23,44,243,1875,338,1405,132
NA,Total area actually reporting,1,669,11,86,87,485,4953,1099,3511,343
NA,"Rate per 100,000 inhabitants",NA,447.4,7.4,57.5,58.2,324.3,3312.2,734.9,2347.9,229.4
"The Villages, FL M.S.A.",NA,124785,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Sumter County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,292,1,25,12,254,1093,277,763,53
NA,"Rate per 100,000 inhabitants",NA,234,0.8,20,9.6,203.6,875.9,222,611.5,42.5
"Toledo, OH M.S.A.",NA,604373,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Fulton, Lucas, and Wood Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Toledo,278366,3319,37,316,803,2163,11191,3381,7081,729
NA,Total area actually reporting,0.928,3662,42,419,880,2321,16577,4268,11358,951
NA,Estimated total,1,3728,43,433,902,2350,17540,4427,12122,991
NA,"Rate per 100,000 inhabitants",NA,616.8,7.1,71.6,149.2,388.8,2902.2,732.5,2005.7,164
"Topeka, KS M.S.A.",NA,232459,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Topeka,127166,711,17,54,248,392,7148,1114,5227,807
NA,Total area actually reporting,0.977,899,21,74,252,552,8878,1497,6407,974
NA,Estimated total,1,910,21,76,253,560,8984,1512,6489,983
NA,"Rate per 100,000 inhabitants",NA,391.5,9,32.7,108.8,240.9,3864.8,650.4,2791.5,422.9
"Trenton, NJ M.S.A.",NA,370221,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Mercer County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Trenton,83644,1127,21,59,427,620,2186,883,930,373
NA,Total area actually reporting,1,1490,25,107,587,771,6585,1590,4454,541
NA,"Rate per 100,000 inhabitants",NA,402.5,6.8,28.9,158.6,208.3,1778.7,429.5,1203.1,146.1
"Tucson, AZ M.S.A.",NA,1017936,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Pima County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tucson,533663,4245,30,469,1235,2511,31265,4138,25185,1942
NA,Total area actually reporting,0.994,5037,49,580,1432,2976,43274,6080,34507,2687
NA,Estimated total,1,5053,49,582,1435,2987,43432,6105,34629,2698
NA,"Rate per 100,000 inhabitants",NA,496.4,4.8,57.2,141,293.4,4266.7,599.7,3401.9,265
"Tulsa, OK M.S.A.",NA,984554,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tulsa,405748,4444,72,439,1088,2845,23956,5780,14516,3660
NA,Total area actually reporting,1,5798,91,670,1244,3793,35669,8761,22107,4801
NA,"Rate per 100,000 inhabitants",NA,588.9,9.2,68.1,126.4,385.3,3622.9,889.8,2245.4,487.6
"Tuscaloosa, AL M.S.A.",NA,241294,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hale, Pickens, and Tuscaloosa Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tuscaloosa,99925,480,14,54,172,240,3732,794,2708,230
NA,Total area actually reporting,1,888,18,92,227,551,6726,1560,4746,420
NA,"Rate per 100,000 inhabitants",NA,368,7.5,38.1,94.1,228.4,2787.5,646.5,1966.9,174.1
"Tyler, TX M.S.A.2, 3",NA,224848,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Smith County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Tyler3,105044,429,5,64,106,254,NA,NA,NA,159
NA,Total area actually reporting,0.991,731,7,83,150,491,NA,NA,NA,429
NA,Estimated total,1,736,7,84,151,494,NA,NA,NA,432
NA,"Rate per 100,000 inhabitants",NA,327.3,3.1,37.4,67.2,219.7,NA,NA,NA,192.1
"Urban Honolulu, HI M.S.A.",NA,995572,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Honolulu County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,3331,16,382,836,2097,30592,3758,22488,4346
NA,"Rate per 100,000 inhabitants",NA,334.6,1.6,38.4,84,210.6,3072.8,377.5,2258.8,436.5
"Utica-Rome, NY M.S.A.",NA,292919,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Herkimer and Oneida Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Utica,60879,382,3,42,115,222,2265,435,1751,79
NA,City of Rome,32345,52,0,13,14,25,619,128,463,28
NA,Total area actually reporting,0.991,774,4,186,151,433,5495,1005,4316,174
NA,Estimated total,1,779,4,187,152,436,5534,1010,4349,175
NA,"Rate per 100,000 inhabitants",NA,265.9,1.4,63.8,51.9,148.8,1889.3,344.8,1484.7,59.7
"Valdosta, GA M.S.A.",NA,143315,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Brooks, Echols, Lanier, and Lowndes Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Valdosta,55880,205,6,17,65,117,3057,581,2333,143
NA,Total area actually reporting,0.995,456,7,29,95,325,4693,1022,3424,247
NA,Estimated total,1,459,7,29,96,327,4719,1026,3444,249
NA,"Rate per 100,000 inhabitants",NA,320.3,4.9,20.2,67,228.2,3292.7,715.9,2403.1,173.7
"Vallejo-Fairfield, CA M.S.A.",NA,437638,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Solano County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Vallejo,122293,1053,15,111,353,574,4810,2366,1321,1123
NA,City of Fairfield,114521,476,7,56,147,266,2845,420,1888,537
NA,Total area actually reporting,1,2022,24,204,647,1147,11719,3397,6158,2164
NA,"Rate per 100,000 inhabitants",NA,462,5.5,46.6,147.8,262.1,2677.8,776.2,1407.1,494.5
"Vineland-Bridgeton, NJ M.S.A.",NA,154814,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cumberland County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Vineland,60823,297,1,15,128,153,2412,559,1779,74
NA,City of Bridgeton,24982,225,4,13,113,95,952,269,649,34
NA,Total area actually reporting,1,802,11,64,333,394,5632,1331,4118,183
NA,"Rate per 100,000 inhabitants",NA,518,7.1,41.3,215.1,254.5,3637.9,859.7,2660,118.2
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",NA,1724733,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Currituck and Gates Counties, NC and Gloucester, Isle of Wight, James City, Mathews, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Virginia Beach, VA",453017,700,21,128,266,285,9858,865,8485,508
NA,"City of Norfolk, VA",245734,1616,46,131,489,950,9617,1165,7918,534
NA,"City of Newport News, VA",181676,848,30,71,269,478,5579,902,4097,580
NA,"City of Hampton, VA",135504,442,24,40,180,198,4650,589,3741,320
NA,"City of Portsmouth, VA",95813,758,14,61,235,448,5373,1208,3707,458
NA,Total area actually reporting,0.993,6054,163,642,1802,3447,48315,6411,38853,3051
NA,Estimated total,1,6072,164,643,1805,3460,48481,6471,38949,3061
NA,"Rate per 100,000 inhabitants",NA,352.1,9.5,37.3,104.7,200.6,2810.9,375.2,2258.3,177.5
"Visalia-Porterville, CA M.S.A.",NA,460141,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Tulare County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Visalia,131186,480,8,68,120,284,4196,998,2561,637
NA,City of Porterville,56421,215,0,16,52,147,1315,280,771,264
NA,Total area actually reporting,1,1624,33,135,329,1127,11608,2692,6805,2111
NA,"Rate per 100,000 inhabitants",NA,352.9,7.2,29.3,71.5,244.9,2522.7,585,1478.9,458.8
"Waco, TX M.S.A.",NA,263878,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Falls and McLennan Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Waco,133790,695,4,126,156,409,4882,1087,3648,147
NA,Total area actually reporting,0.979,1104,7,205,185,707,7216,1556,5364,296
